city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount
1,37,1,1,0,31,not acept,furnished,1650
1,61,2,1,1,4,acept,not furnished,1850
1,64,2,2,1,0,not acept,not furnished,1900
1,220,3,5,4,10,acept,not furnished,6800
1,58,2,2,1,1,acept,not furnished,2530
1,145,3,3,3,6,acept,not furnished,12000
1,380,5,5,4,0,acept,not furnished,15000
1,93,3,2,2,7,acept,not furnished,2200
1,36,1,1,1,8,acept,not furnished,2150
1,78,2,2,1,2,acept,furnished,7250
1,38,2,1,1,3,acept,not furnished,1250
0,101,3,2,2,1,acept,not furnished,2200
1,400,4,5,5,0,acept,not furnished,7200
1,65,2,1,0,4,acept,not furnished,1450
1,248,3,4,3,2,acept,not furnished,5300
1,360,3,5,6,17,acept,not furnished,3000
1,47,2,1,1,6,acept,not furnished,1500
1,56,1,1,1,8,acept,not furnished,4600
1,190,3,3,1,3,acept,not furnished,6300
1,69,3,1,1,8,acept,not furnished,1350
1,235,3,2,2,5,acept,furnished,7200
1,120,3,3,0,8,acept,furnished,5112
1,70,1,1,1,2,acept,not furnished,1200
1,196,3,5,3,3,acept,furnished,8440
1,89,3,3,2,8,not acept,not furnished,3800
1,33,1,1,1,5,acept,not furnished,1500
1,68,1,2,1,6,acept,furnished,9000
0,110,3,2,2,7,not acept,not furnished,2100
1,40,1,1,1,14,not acept,furnished,3990
0,999,5,7,8,0,acept,not furnished,14000
1,33,1,1,0,1,not acept,not furnished,1305
1,200,4,3,2,10,acept,furnished,4500
1,82,2,2,2,4,acept,not furnished,2827
1,240,4,2,2,6,acept,not furnished,3000
0,58,1,1,0,5,acept,not furnished,900
1,80,2,2,1,8,not acept,furnished,4500
1,300,4,2,6,0,acept,not furnished,5000
1,400,4,5,3,0,acept,not furnished,15000
1,161,4,3,2,1,acept,not furnished,10000
1,365,4,5,6,4,acept,not furnished,13900
1,120,3,3,2,23,not acept,not furnished,7300
0,104,2,2,2,7,acept,furnished,4200
1,180,3,1,5,0,acept,not furnished,6500
1,48,1,1,1,9,not acept,furnished,4300
1,138,2,3,2,22,acept,not furnished,9800
1,350,4,3,4,0,acept,not furnished,7300
1,255,3,3,2,8,acept,furnished,15000
1,98,2,3,3,13,not acept,not furnished,4150
0,136,4,5,2,10,acept,not furnished,3800
1,190,3,3,4,0,acept,furnished,4500
1,60,2,1,1,6,acept,not furnished,1850
1,320,4,5,0,11,acept,furnished,8700
1,40,2,1,0,0,acept,not furnished,1100
1,100,4,1,0,0,acept,not furnished,1600
1,90,2,1,0,0,not acept,not furnished,2600
1,100,2,2,1,3,acept,not furnished,2023
1,135,3,2,1,13,acept,not furnished,7000
1,100,3,3,2,0,not acept,not furnished,2000
1,65,3,1,0,1,acept,not furnished,3655
1,387,4,6,4,1,acept,not furnished,6400
1,235,3,3,1,3,acept,not furnished,5150
0,50,2,1,1,4,not acept,not furnished,1500
1,77,2,2,2,18,acept,not furnished,3000
1,120,3,3,1,14,acept,not furnished,2950
0,70,2,3,1,7,acept,not furnished,2004
1,40,1,1,0,2,acept,not furnished,1271
0,295,7,6,4,0,not acept,furnished,6200
1,320,3,3,4,0,acept,not furnished,10000
1,100,2,1,1,10,not acept,furnished,2900
1,153,4,3,3,3,acept,not furnished,5500
1,85,3,3,2,3,acept,not furnished,3566
1,450,4,4,3,0,acept,not furnished,11500
1,50,1,1,0,1,not acept,not furnished,810
1,90,2,2,1,3,acept,not furnished,3000
0,32,1,1,0,9,not acept,not furnished,600
1,150,2,1,4,0,acept,not furnished,2800
1,86,3,2,0,8,acept,furnished,3400
1,230,3,5,3,3,not acept,not furnished,11000
1,420,4,4,2,4,acept,not furnished,13000
1,79,3,2,2,4,acept,furnished,2900
1,400,4,4,4,0,acept,furnished,10000
1,65,2,1,3,9,acept,not furnished,2000
0,73,3,2,2,1,acept,not furnished,2096
1,45,1,1,1,1,not acept,furnished,5520
1,800,5,7,6,0,acept,not furnished,15000
1,60,2,1,1,8,acept,furnished,1800
1,137,3,3,3,4,acept,furnished,9800
1,100,3,2,1,4,acept,not furnished,3700
1,100,3,3,2,0,acept,not furnished,4100
0,90,3,1,1,7,acept,not furnished,1450
0,166,4,3,3,6,acept,not furnished,2150
1,180,3,2,2,6,acept,not furnished,5500
1,300,2,3,2,0,acept,furnished,3200
1,150,3,3,2,0,acept,not furnished,2050
1,60,1,1,1,13,acept,furnished,3900
0,42,1,1,1,16,not acept,furnished,1200
0,46,1,1,0,7,not acept,not furnished,700
1,40,1,1,1,5,not acept,not furnished,4320
0,55,1,1,1,6,acept,not furnished,700
1,83,2,2,1,21,acept,not furnished,4800
1,220,4,3,3,4,acept,not furnished,4000
1,190,3,4,3,2,acept,not furnished,5950
1,65,2,1,1,1,acept,not furnished,2050
1,186,3,3,2,22,not acept,not furnished,5435
1,80,1,1,0,0,acept,not furnished,1200
1,175,3,4,3,7,acept,not furnished,9000
1,95,3,2,0,0,acept,not furnished,1690
1,86,3,1,1,6,acept,not furnished,3150
1,300,4,4,3,0,acept,not furnished,10000
1,108,4,3,2,4,acept,not furnished,6500
0,45,1,1,1,3,acept,not furnished,600
1,37,1,1,0,16,not acept,not furnished,1519
1,30,1,1,1,10,not acept,furnished,3237
1,246,3,4,4,9,acept,furnished,10000
1,234,3,5,3,17,not acept,furnished,14000
1,73,2,2,1,6,acept,furnished,5000
1,113,3,2,2,8,acept,not furnished,2975
0,110,3,3,2,0,acept,not furnished,3200
1,400,3,2,8,0,acept,furnished,15000
1,29,1,1,0,0,not acept,not furnished,1430
1,140,2,2,2,0,not acept,not furnished,2700
1,28,1,1,1,13,not acept,furnished,2800
1,200,3,3,3,0,acept,not furnished,7000
1,20,1,1,0,11,not acept,not furnished,1850
1,88,3,2,2,11,acept,furnished,5870
1,40,1,1,1,3,acept,not furnished,1500
1,150,3,2,2,16,acept,not furnished,5000
1,187,3,2,3,0,acept,not furnished,3500
1,51,1,1,1,13,acept,not furnished,2700
1,62,2,2,1,1,not acept,furnished,5050
1,150,3,2,4,0,acept,not furnished,9670
1,48,1,1,1,21,not acept,furnished,6698
0,60,2,1,1,0,not acept,not furnished,830
1,53,1,1,1,5,not acept,furnished,2600
1,74,2,1,2,9,acept,furnished,6600
1,53,1,1,0,2,not acept,not furnished,1680
0,300,4,5,4,0,acept,not furnished,4000
1,180,2,3,2,13,acept,not furnished,12500
1,53,2,2,1,4,acept,furnished,1650
0,296,6,4,8,0,acept,not furnished,5200
1,145,4,3,2,1,acept,not furnished,4800
1,230,3,3,3,11,acept,not furnished,4080
1,420,4,4,4,19,acept,not furnished,11050
1,34,1,1,0,10,acept,not furnished,1610
1,27,1,1,1,6,not acept,not furnished,3700
1,17,1,1,0,1,not acept,furnished,2200
1,64,2,1,2,10,not acept,furnished,4000
1,645,5,8,8,0,acept,not furnished,15000
1,68,2,2,1,6,acept,not furnished,1339
1,68,1,1,1,12,acept,furnished,6000
1,134,3,3,3,8,acept,not furnished,2125
1,43,1,1,0,13,acept,not furnished,1700
1,48,1,1,2,7,acept,furnished,7000
1,220,5,4,3,0,not acept,not furnished,8000
1,600,5,5,6,0,acept,not furnished,15000
1,260,3,4,3,3,acept,not furnished,1040
1,250,3,4,0,6,acept,not furnished,5000
1,126,3,2,2,18,not acept,not furnished,1680
1,62,2,2,0,6,not acept,not furnished,1400
1,68,2,1,0,2,not acept,not furnished,1300
1,195,4,3,4,7,acept,not furnished,2700
1,57,2,2,1,22,not acept,furnished,4500
1,556,4,5,7,0,acept,not furnished,7000
1,70,2,1,1,14,acept,not furnished,2400
1,105,3,2,3,1,acept,not furnished,1900
0,200,4,3,2,1,acept,not furnished,3400
1,290,3,5,4,8,acept,furnished,7000
1,90,2,2,1,7,not acept,furnished,3910
1,94,1,2,2,2,not acept,furnished,13000
1,130,3,4,2,11,not acept,not furnished,2318
1,40,1,1,0,0,acept,not furnished,1100
1,110,4,5,3,0,acept,not furnished,3900
1,28,1,1,0,5,acept,furnished,1764
1,240,3,3,3,11,acept,furnished,10000
1,100,3,3,3,1,acept,not furnished,3300
1,20,1,1,0,0,acept,not furnished,2060
1,300,4,4,4,19,acept,furnished,9000
1,16,1,1,0,1,not acept,not furnished,850
1,90,2,1,0,2,not acept,not furnished,1720
1,90,3,3,2,1,acept,not furnished,1997
1,39,2,1,0,3,acept,not furnished,1450
0,578,4,5,8,0,acept,not furnished,9500
1,180,3,2,1,0,not acept,not furnished,3000
1,209,3,3,0,4,acept,not furnished,4000
1,170,3,3,2,6,acept,not furnished,9500
1,250,4,5,4,6,acept,not furnished,9800
1,262,4,5,4,17,acept,not furnished,2250
1,100,3,3,0,0,acept,not furnished,1955
1,200,3,2,2,0,acept,not furnished,2900
1,70,2,1,1,6,acept,not furnished,3000
1,244,3,3,3,4,acept,not furnished,8900
1,270,5,4,4,6,not acept,not furnished,7000
1,45,1,1,0,0,not acept,not furnished,1030
1,20,1,1,0,3,not acept,furnished,2400
1,70,2,2,0,1,not acept,not furnished,3750
0,130,2,2,5,0,acept,not furnished,1800
0,104,2,2,1,2,acept,not furnished,1700
1,65,1,1,1,9,not acept,not furnished,2500
1,235,3,3,3,11,not acept,not furnished,6500
1,200,3,4,2,2,acept,not furnished,9180
1,150,2,2,1,0,acept,furnished,2175
0,60,2,1,1,2,acept,not furnished,1000
1,82,1,1,2,1,acept,not furnished,8000
1,380,3,2,3,5,acept,not furnished,15000
1,380,4,4,3,1,acept,not furnished,8000
1,54,2,2,1,16,acept,not furnished,2200
1,67,2,2,1,1,not acept,furnished,3500
1,330,2,4,3,0,acept,not furnished,6000
1,117,4,5,4,10,not acept,not furnished,3175
0,200,3,3,5,0,acept,not furnished,2650
1,305,2,3,0,10,acept,not furnished,5000
1,53,2,2,2,5,acept,not furnished,2495
0,170,4,3,2,0,acept,not furnished,1750
1,50,1,1,1,13,acept,not furnished,1800
1,250,4,2,3,2,not acept,furnished,15000
1,164,3,2,1,15,acept,furnished,3700
1,90,2,1,1,0,acept,not furnished,2500
0,115,3,3,1,5,acept,not furnished,1900
1,206,3,3,1,11,acept,furnished,7400
1,50,2,2,1,10,acept,not furnished,1900
0,49,2,1,1,1,acept,not furnished,1000
1,30,1,1,0,5,acept,not furnished,1210
1,130,3,1,1,0,acept,not furnished,5600
1,360,4,9,8,0,acept,not furnished,8540
1,54,2,1,1,1,acept,not furnished,1932
0,252,3,3,4,0,acept,not furnished,3300
0,130,3,2,0,0,acept,not furnished,1400
0,400,4,4,3,0,acept,not furnished,8700
1,27,1,1,0,2,not acept,not furnished,895
1,45,1,1,1,8,not acept,not furnished,2349
1,260,4,4,2,5,acept,furnished,4400
1,74,2,3,2,24,acept,not furnished,3200
1,59,2,2,0,5,not acept,not furnished,2040
1,51,2,1,1,4,acept,not furnished,2500
1,346,4,4,4,6,acept,not furnished,4080
1,30,1,1,0,0,not acept,not furnished,1200
1,58,2,1,1,1,acept,not furnished,1397
0,65,2,1,1,1,acept,furnished,1850
1,110,2,3,2,2,acept,not furnished,6500
1,600,5,7,8,0,acept,furnished,9000
1,35,1,1,0,1,acept,not furnished,1950
1,65,3,1,0,13,not acept,not furnished,1880
1,83,2,1,1,6,not acept,not furnished,1600
1,100,3,2,0,3,not acept,not furnished,2000
1,90,2,2,1,3,acept,not furnished,3000
1,65,1,1,1,14,not acept,furnished,3500
1,135,3,2,2,3,acept,not furnished,2300
1,90,2,2,2,0,acept,not furnished,1800
1,58,2,1,1,8,acept,not furnished,1500
1,34,2,1,0,10,acept,not furnished,2200
1,350,3,5,3,0,acept,not furnished,12000
1,45,1,1,1,18,not acept,furnished,4500
1,120,3,2,1,1,not acept,not furnished,2500
0,45,1,1,1,4,not acept,not furnished,850
1,26,1,1,0,0,not acept,not furnished,900
1,137,4,1,1,4,not acept,furnished,3000
1,200,2,2,1,0,acept,not furnished,2000
1,20,1,1,0,6,acept,furnished,1800
1,163,3,3,3,8,acept,furnished,2550
1,32,1,1,1,8,not acept,not furnished,2088
1,45,1,1,1,7,acept,not furnished,1700
1,147,3,2,0,9,not acept,furnished,4250
1,260,3,2,1,0,not acept,not furnished,3000
1,36,1,1,1,8,acept,furnished,3400
1,20,1,1,0,3,acept,furnished,1800
1,112,1,2,2,7,acept,furnished,8389
1,35,1,1,0,9,acept,furnished,1300
1,280,3,4,2,0,acept,not furnished,2590
1,137,2,2,1,0,not acept,not furnished,4600
1,120,3,3,1,4,acept,not furnished,3070
1,62,3,1,1,7,not acept,not furnished,1600
1,70,2,2,0,0,acept,not furnished,1980
1,78,3,2,2,10,acept,not furnished,2400
1,39,1,1,1,24,not acept,furnished,4200
0,90,3,3,2,4,acept,not furnished,1350
1,121,2,3,1,20,acept,not furnished,2560
1,97,3,3,2,7,acept,not furnished,2500
1,130,2,2,2,0,acept,not furnished,3500
0,46,2,1,1,4,acept,not furnished,1250
1,93,2,2,2,2,acept,furnished,5500
1,70,2,2,0,1,acept,not furnished,1000
1,100,2,1,1,0,acept,not furnished,1900
1,64,1,2,1,3,acept,not furnished,2603
1,84,2,2,0,12,acept,not furnished,1500
1,146,3,5,3,17,not acept,furnished,9000
1,110,3,2,1,1,acept,not furnished,5500
1,80,1,2,1,10,acept,furnished,4000
1,280,3,4,4,4,acept,not furnished,15000
1,180,4,3,2,5,acept,not furnished,5500
1,20,1,1,0,2,not acept,furnished,3142
1,70,3,1,1,9,acept,not furnished,2500
1,54,1,1,1,13,not acept,not furnished,4130
1,469,4,5,4,12,acept,not furnished,15000
0,240,3,4,4,1,acept,not furnished,7000
1,141,3,2,2,11,acept,not furnished,6900
1,70,2,1,0,1,acept,not furnished,1600
1,58,1,2,1,14,acept,furnished,5800
1,160,3,2,2,2,acept,not furnished,3599
0,348,3,3,3,0,acept,not furnished,6000
1,68,2,1,1,1,acept,not furnished,1200
0,58,2,2,2,8,not acept,furnished,3500
1,138,2,3,2,9,acept,furnished,2180
1,55,1,1,1,11,not acept,not furnished,2200
0,170,3,2,2,0,acept,not furnished,2300
1,400,3,7,4,0,acept,not furnished,20000
0,188,5,4,0,0,acept,not furnished,4000
1,240,3,4,2,0,acept,not furnished,8200
1,23,1,1,0,23,acept,not furnished,2100
1,48,1,2,1,2,acept,furnished,3857
0,380,3,5,4,0,acept,not furnished,3800
1,58,2,2,1,12,not acept,furnished,4000
1,200,2,1,1,0,acept,not furnished,2450
1,70,2,1,1,7,acept,furnished,3300
1,126,2,2,1,0,acept,not furnished,2500
1,218,3,4,2,6,not acept,not furnished,7800
0,190,4,4,2,14,acept,not furnished,3200
0,64,1,2,1,11,not acept,not furnished,1540
1,420,4,4,4,7,acept,not furnished,12000
1,42,1,1,0,6,acept,furnished,1800
0,284,4,3,4,0,acept,furnished,6000
1,108,3,2,2,2,acept,not furnished,2200
1,95,2,1,1,0,acept,not furnished,2900
1,217,2,3,3,5,acept,furnished,6000
1,190,3,3,2,10,not acept,not furnished,9000
0,150,2,2,1,0,acept,not furnished,1060
1,75,1,2,0,4,acept,not furnished,2100
1,40,1,1,0,0,not acept,not furnished,780
1,110,2,1,1,2,acept,not furnished,3000
1,139,4,5,2,6,not acept,not furnished,10000
1,30,1,1,0,12,acept,furnished,3400
1,58,2,1,1,9,acept,not furnished,1800
1,150,3,4,2,0,acept,not furnished,2750
1,131,4,4,3,1,not acept,furnished,6000
1,18,1,1,0,0,acept,not furnished,1720
1,80,2,1,1,6,acept,not furnished,1500
1,144,3,4,3,4,acept,furnished,7200
1,85,2,1,0,4,acept,not furnished,1617
1,76,2,2,1,2,acept,not furnished,3410
1,370,5,3,4,0,acept,not furnished,8500
0,100,2,1,0,16,acept,not furnished,900
1,260,3,5,0,0,acept,not furnished,9000
1,220,3,4,2,0,acept,not furnished,15000
1,273,3,3,1,5,acept,not furnished,5000
1,107,3,2,1,12,not acept,not furnished,5800
1,34,2,1,0,10,acept,not furnished,2200
1,80,2,1,0,0,acept,furnished,4892
1,550,4,5,0,1,acept,not furnished,8800
1,60,3,3,2,0,acept,not furnished,2700
1,45,2,1,1,24,acept,not furnished,1850
1,170,4,2,3,0,acept,not furnished,2550
1,200,3,4,3,18,acept,furnished,6200
0,70,2,1,1,15,not acept,furnished,2250
1,77,2,2,1,5,acept,not furnished,1950
1,270,4,4,4,11,acept,furnished,15000
1,339,4,5,4,13,acept,furnished,15000
1,50,1,1,0,0,acept,not furnished,1100
1,104,2,2,0,3,acept,furnished,2200
1,68,2,2,1,19,not acept,furnished,6700
1,240,4,4,3,4,acept,not furnished,2000
1,45,1,1,1,14,not acept,furnished,2300
1,189,4,3,3,3,acept,not furnished,4500
1,43,1,1,0,6,acept,not furnished,1472
1,35,1,1,1,1,acept,not furnished,1010
1,200,3,3,2,0,acept,not furnished,8000
1,250,3,5,8,0,acept,furnished,6000
1,400,4,6,3,0,acept,not furnished,7225
1,45,1,1,1,1,not acept,furnished,5520
1,22,1,1,1,25,acept,not furnished,2200
1,180,3,3,2,4,acept,not furnished,8000
1,486,4,6,5,8,not acept,not furnished,4861
1,72,3,2,2,7,acept,not furnished,2312
1,830,2,2,2,0,acept,not furnished,2001
1,52,1,1,1,1,acept,furnished,4667
1,90,1,1,0,11,not acept,not furnished,2066
0,165,3,2,1,1,acept,not furnished,1800
1,71,2,2,1,4,acept,not furnished,1250
1,65,2,2,2,6,acept,not furnished,2000
0,260,3,5,5,0,acept,not furnished,7600
1,140,2,1,0,8,acept,not furnished,4500
1,200,3,2,3,14,acept,furnished,8000
1,204,3,2,2,2,acept,not furnished,7000
1,96,3,1,2,1,acept,not furnished,1847
1,136,3,4,3,4,not acept,not furnished,3500
1,156,3,2,1,0,acept,not furnished,6400
0,98,1,1,1,5,acept,not furnished,2800
1,150,3,3,3,0,acept,not furnished,4600
1,200,3,3,5,0,acept,not furnished,14000
1,31,2,1,0,2,acept,not furnished,1040
1,136,3,2,2,13,acept,furnished,15000
1,440,4,4,4,11,acept,furnished,10200
1,110,3,3,1,9,not acept,not furnished,3000
1,347,5,5,4,0,acept,not furnished,7000
1,98,3,2,1,5,acept,furnished,2400
1,600,3,3,3,9,acept,not furnished,15000
1,53,2,2,1,10,not acept,furnished,3000
0,58,1,2,2,2,acept,not furnished,1450
1,162,2,2,3,6,acept,furnished,15000
1,50,1,1,1,20,not acept,furnished,5300
1,230,5,3,2,0,acept,furnished,3491
1,93,3,4,2,6,acept,furnished,2800
1,93,1,3,1,4,not acept,not furnished,3500
1,20,1,1,0,6,acept,furnished,1800
1,150,3,2,0,0,acept,not furnished,2500
1,182,3,5,3,10,acept,not furnished,4900
1,48,1,1,1,2,acept,not furnished,1797
1,98,3,2,2,10,acept,not furnished,4500
1,197,3,4,1,10,acept,not furnished,4500
1,114,4,4,2,6,acept,not furnished,2790
1,70,2,1,0,1,acept,not furnished,1300
1,240,5,2,3,0,not acept,not furnished,6500
1,55,1,1,0,1,acept,not furnished,1100
1,90,3,3,1,0,acept,not furnished,2600
1,106,3,2,1,14,acept,furnished,10000
1,250,3,4,2,1,not acept,not furnished,7000
1,168,3,2,4,0,not acept,not furnished,3500
1,150,3,2,1,8,acept,not furnished,4800
1,350,3,3,3,0,not acept,not furnished,10000
1,23,1,1,1,12,acept,furnished,2800
1,290,4,4,2,6,acept,furnished,7800
1,160,4,3,0,1,acept,furnished,2300
1,12,1,1,0,0,not acept,not furnished,1050
1,280,3,4,2,0,acept,furnished,8000
1,107,3,3,2,3,acept,not furnished,4500
1,25,1,1,0,0,not acept,furnished,1750
1,37,1,1,0,1,acept,not furnished,1400
1,157,4,3,2,0,acept,not furnished,6608
1,71,2,3,2,13,not acept,not furnished,3700
1,130,4,3,2,13,acept,not furnished,2500
1,300,3,4,7,0,not acept,not furnished,4340
1,525,5,4,4,0,acept,not furnished,8330
1,94,3,3,2,1,acept,not furnished,2433
1,240,4,2,6,0,not acept,furnished,4675
1,400,3,3,4,0,acept,not furnished,3790
1,228,3,4,3,6,acept,furnished,14000
1,395,4,4,3,16,acept,furnished,15000
1,227,4,4,3,6,acept,not furnished,9000
1,685,4,3,5,11,acept,not furnished,13000
0,297,4,6,2,3,acept,not furnished,2800
1,145,3,3,1,1,acept,not furnished,5800
0,180,3,4,4,0,acept,not furnished,3230
0,269,4,5,0,12,acept,not furnished,5100
1,270,3,3,3,16,acept,not furnished,13000
1,390,3,4,4,10,not acept,not furnished,9000
1,200,2,5,2,2,not acept,furnished,15000
1,330,5,4,2,0,acept,furnished,7650
1,66,1,1,1,4,not acept,not furnished,1600
1,290,5,3,3,6,acept,not furnished,4100
1,45,1,1,0,0,not acept,not furnished,1500
1,98,2,2,0,5,not acept,furnished,4500
1,160,2,1,0,12,not acept,not furnished,2400
1,80,2,1,1,13,not acept,not furnished,2900
1,160,2,3,2,21,not acept,furnished,12000
1,118,3,2,2,4,acept,not furnished,8950
1,230,4,3,2,1,acept,not furnished,12200
0,650,4,6,4,0,acept,not furnished,13000
1,147,3,3,3,5,acept,furnished,12000
1,138,3,1,0,0,acept,not furnished,3500
1,102,2,2,2,0,acept,not furnished,3500
0,57,2,1,1,5,acept,furnished,1850
1,36,1,1,1,15,acept,furnished,3328
1,248,3,4,4,2,acept,not furnished,14000
1,190,4,2,3,0,acept,not furnished,8000
0,60,2,1,1,3,acept,not furnished,1299
1,309,4,7,8,0,acept,not furnished,10000
1,884,5,7,6,8,acept,not furnished,12750
0,40,1,1,0,4,acept,not furnished,500
1,80,2,2,1,0,acept,furnished,1600
1,200,4,5,4,16,acept,not furnished,10000
1,60,1,1,1,0,acept,not furnished,1500
1,180,2,3,2,0,acept,not furnished,3150
1,213,4,4,3,17,acept,not furnished,6500
1,190,3,2,1,6,acept,not furnished,6800
0,205,3,2,4,0,acept,not furnished,2570
1,126,3,4,1,3,acept,not furnished,4000
1,260,4,4,6,22,acept,furnished,5500
0,66,1,1,1,2,acept,furnished,5000
1,900,4,9,8,1,acept,not furnished,15000
1,380,4,3,3,11,acept,not furnished,5800
1,146,3,3,2,9,acept,not furnished,2000
0,53,1,1,1,13,acept,not furnished,650
1,326,3,4,5,12,acept,furnished,15000
1,230,3,2,0,1,acept,not furnished,2500
1,123,3,3,2,3,not acept,furnished,3400
1,30,1,1,0,7,not acept,not furnished,1350
1,60,2,1,0,0,not acept,not furnished,1100
1,200,2,2,1,10,acept,furnished,9500
1,315,3,4,5,14,not acept,furnished,15000
1,55,2,1,0,0,acept,not furnished,1350
1,70,2,1,0,1,acept,not furnished,2448
0,49,2,1,1,5,acept,not furnished,1010
1,18,1,1,0,8,acept,not furnished,1130
1,100,3,3,4,0,acept,not furnished,2500
1,61,2,1,0,5,acept,not furnished,3050
1,79,2,3,2,15,acept,not furnished,3200
1,73,2,2,1,11,acept,not furnished,1250
1,30,1,1,0,1,acept,not furnished,1550
1,61,2,1,0,3,acept,not furnished,1841
1,34,1,1,1,1,not acept,furnished,2890
0,50,2,1,1,3,acept,not furnished,1000
1,100,2,2,1,0,not acept,not furnished,1750
1,55,1,1,1,14,not acept,furnished,4950
1,100,2,3,1,2,acept,furnished,3973
1,110,3,2,2,2,acept,not furnished,2400
0,40,2,1,1,3,acept,not furnished,1200
0,223,3,5,2,2,acept,not furnished,3300
1,384,4,6,4,3,not acept,furnished,15000
1,418,2,4,3,17,not acept,not furnished,6875
1,380,4,1,0,0,acept,not furnished,2890
1,225,4,3,2,0,acept,furnished,4400
1,40,1,1,0,0,not acept,not furnished,850
1,74,2,2,2,7,acept,not furnished,3400
1,185,3,3,2,9,acept,not furnished,12000
0,70,2,2,0,5,not acept,not furnished,1000
1,150,3,2,2,2,acept,not furnished,2000
1,150,3,3,8,0,acept,not furnished,8000
1,25,1,1,0,1,not acept,not furnished,750
1,320,5,4,4,0,acept,furnished,14650
1,328,3,4,4,18,acept,furnished,6000
1,179,4,4,3,8,acept,furnished,8500
1,62,2,2,2,4,acept,not furnished,2290
1,210,3,4,4,4,acept,not furnished,15000
1,75,2,2,0,1,not acept,not furnished,2125
0,76,2,2,2,9,acept,furnished,3100
1,146,3,3,2,3,acept,furnished,6500
1,55,2,2,1,4,acept,not furnished,1850
1,165,4,4,4,1,acept,not furnished,5700
0,96,3,2,2,6,acept,furnished,3600
1,300,3,3,8,0,acept,furnished,4000
1,287,3,2,5,0,acept,not furnished,15000
1,35,1,1,0,7,not acept,not furnished,1200
1,23,1,1,0,13,acept,not furnished,2500
1,25,1,1,0,4,not acept,furnished,2000
1,140,3,2,0,8,acept,furnished,1799
0,147,3,2,3,11,acept,not furnished,1620
1,90,2,1,0,1,acept,not furnished,1500
1,224,4,5,3,12,acept,not furnished,9500
0,170,3,2,2,0,acept,not furnished,1800
1,126,3,4,3,99,acept,not furnished,13000
1,72,2,2,1,18,not acept,furnished,7500
1,45,1,1,1,2,acept,furnished,2532
1,45,1,1,1,8,acept,not furnished,1800
1,100,3,2,2,6,not acept,not furnished,2000
1,152,2,2,1,3,acept,furnished,15000
1,40,1,1,1,12,acept,not furnished,3470
1,200,3,2,1,8,acept,not furnished,8000
1,310,3,3,2,16,not acept,not furnished,15000
1,20,1,1,0,5,not acept,furnished,1700
1,200,3,2,2,8,acept,not furnished,3000
1,76,1,2,1,4,acept,furnished,4200
1,20,1,1,0,3,not acept,furnished,600
1,200,4,3,3,0,acept,not furnished,3800
1,54,2,1,0,7,acept,not furnished,2001
1,100,1,1,2,8,acept,furnished,4200
1,90,3,2,0,9,not acept,not furnished,2100
1,300,3,3,4,0,acept,not furnished,9000
1,70,2,1,1,7,acept,not furnished,1300
1,60,2,1,0,0,acept,not furnished,1380
1,100,2,2,2,0,acept,furnished,3900
1,270,3,4,2,11,acept,not furnished,15000
1,90,3,1,1,2,not acept,not furnished,2400
1,220,3,4,4,2,acept,not furnished,5500
1,60,1,1,1,7,not acept,not furnished,2023
1,56,1,1,0,2,acept,furnished,8000
0,430,4,3,4,1,acept,not furnished,9000
1,288,3,3,3,0,acept,not furnished,12000
1,79,2,2,1,1,acept,furnished,2000
1,341,3,3,2,6,acept,not furnished,4400
1,60,2,2,1,10,acept,furnished,3400
1,300,4,4,3,0,acept,not furnished,12900
1,123,3,3,0,0,acept,not furnished,4000
1,59,2,2,1,12,acept,not furnished,2200
1,35,1,1,0,0,acept,not furnished,1100
1,42,1,1,0,0,not acept,not furnished,1600
1,55,1,1,1,11,acept,not furnished,2166
1,38,1,1,0,3,not acept,not furnished,1685
1,318,5,3,2,0,acept,furnished,3840
1,60,1,1,0,0,not acept,not furnished,1300
1,280,3,4,3,0,acept,furnished,8000
1,195,4,3,3,7,not acept,not furnished,10000
1,82,2,2,1,2,acept,not furnished,2450
0,110,2,1,1,2,acept,not furnished,980
1,376,3,3,7,0,acept,not furnished,8000
1,139,3,3,3,3,acept,not furnished,2700
1,300,4,3,4,9,acept,not furnished,15000
1,289,3,3,2,6,not acept,not furnished,15000
1,100,2,1,2,0,acept,not furnished,3200
1,65,2,2,1,9,not acept,not furnished,1039
0,55,2,1,1,1,acept,not furnished,900
1,98,1,2,2,9,acept,not furnished,4000
1,76,3,2,0,4,acept,not furnished,1600
1,89,3,2,2,19,acept,not furnished,6000
1,155,4,3,2,16,acept,not furnished,3500
1,137,3,4,2,2,acept,not furnished,2200
1,88,2,2,2,8,acept,furnished,4500
0,102,3,3,1,9,acept,not furnished,1500
1,300,2,4,2,0,acept,furnished,3250
1,115,3,2,1,12,acept,not furnished,3000
1,198,3,4,2,12,acept,furnished,11500
1,57,2,2,1,8,acept,not furnished,2550
0,185,3,3,2,6,acept,not furnished,2200
1,62,2,1,1,1,acept,not furnished,1650
1,86,3,3,0,10,acept,furnished,3000
1,35,1,1,1,6,not acept,furnished,1250
1,144,3,2,2,8,acept,not furnished,3600
1,210,3,3,4,1,acept,not furnished,6500
1,294,3,6,3,0,acept,not furnished,2550
1,232,4,3,4,0,acept,furnished,4500
1,260,4,2,3,0,acept,not furnished,3850
